max_area,depth
2,1.52
19,1.79
34,2.25
43,2.47
62,2.96
71,3.17
86,3.4
101,3.61
185,4.34 
226,4.67
249,4.9
273,5.07
299,5.37
305,5.44 
342,5.76
361,6
413,6.35
430,6.67
436,6.74
21,2.2
34,2.43
75,3.16
92,3.3
159,4.23
189,4.29
201,4.36
218,4.44
236,4.5
251.5,4.58
301,4.93
351,5.28
446,5.9
684,6.36
789,7.02
5,1.6
36,2.12
60,2.61
68,2.69
104,3.21
164,3.65
271,3.84
360,4.3
376,4.42
387,4.47
423,4.85
439,4.87
470,5.19
520,5.69
574,5.99
596,6.11
603,6.12
632,6.4
648,6.89
11,1.74
30,2.18
36,2.33
59,2.76
83,3.04
104,3.36
128,3.69
156,3.88
162.5,3.94
178,3.95
279,4.54
335,4.91
392,5.35
405,5.39
413,5.45
418.00 ,5.48
422,5.51
450,5.76
468,5.9
470,5.91
486,6.06
491,6.08
501,6.13
507,6.2
534,6.31
572,6.63
580,6.77
587,6.83
